Scenario,Year,Agp,Index,A,M,L,U
Sch2d85,2017,80+,Protection,0.05637315583618526,0.05633697236795578,0.051686916510593886,0.061200560557068955
Sch2d85,2017,80+,N,2721910,2721910,2721910,2721910
Sch2d85,2017,80+,N_Uptake_ZVL,0,0,0,0
Sch2d85,2017,80+,N_Uptake_RZV,0,0,0,0
Sch2d85,2017,80+,N_Covered_ZVL,0,0,0,0
Sch2d85,2017,80+,N_Covered_RZV,0,0,0,0
Sch2d85,2017,80+,N_HZ,24243.739182070738,24234.35907706021,23531.37500468099,24979.074262258655
Sch2d85,2017,80+,N_HZ_GP,22628.24111089635,22622.483642313156,21886.247692053108,23381.765727866008
Sch2d85,2017,80+,N_HZ_Hosp,1615.498071174389,1610.2917808781149,1361.708551302067,1893.5570806879282
Sch2d85,2017,80+,N_HZ_PHN,2188.5610064440875,2186.1989743769414,1976.768926357468,2426.6936312670796
Sch2d85,2017,80+,N_HZ_PHN_GP,2044.3564899913442,2043.384589486494,1841.0629442173438,2262.0080159325194
Sch2d85,2017,80+,N_HZ_Death,0.3265040512677089,0.32693654043200526,0.27845057533835205,0.3801537252169815
Sch2d85,2017,80+,Coverage_ZVL,0,0,0,0
Sch2d85,2017,80+,Coverage_RZV,0,0,0,0
Sch2d85,2017,80+,Coverage,0,0,0,0
Sch2d85,2017,80+,IncR_HZ,0.008906884938176037,0.008903438790062938,0.008645170121231414,0.00917703901387579
Sch2d85,2017,80+,IncR_HZ_Hosp,5.935163437345059e-4,5.91603609552893e-4,5.002768465166252e-4,6.956721863279566e-4
Sch2d85,2017,80+,IncR_HZ_PHN,8.040534060435825e-4,8.031856212648255e-4,7.262433094251714e-4,8.915407310554278e-4
Sch2d85,2017,80+,MorR_HZ,1.1995402172287434e-7,1.201129135173482e-7,1.0229969960004266e-7,1.396643258656537e-7
Sch2d85,2018,60_80,Protection,0.13783590134641302,0.13779329074759078,0.12997795502309087,0.14632138619884297
Sch2d85,2018,60_80,N,10454893,10454893,10454893,10454893
Sch2d85,2018,60_80,N_Uptake_ZVL,526759.5603544851,526759.5603544851,526759.5603544851,526759.5603544851
Sch2d85,2018,60_80,N_Uptake_RZV,0,0,0,0
Sch2d85,2018,60_80,N_Covered_ZVL,526759.5603544851,526759.5603544851,526759.5603544851,526759.5603544851
Sch2d85,2018,60_80,N_Covered_RZV,0,0,0,0
Sch2d85,2018,60_80,N_HZ,64484.68944350873,64499.18642796472,62639.99750904222,66299.9854985601
Sch2d85,2018,60_80,N_HZ_GP,63574.93717917681,63588.91163579669,61750.23322235053,65337.775565168675
Sch2d85,2018,60_80,N_HZ_Hosp,909.7522643319181,904.9001919426883,774.6614422741673,1066.2548284535198
Sch2d85,2018,60_80,N_HZ_PHN,3634.8505669634833,3628.425079206719,3362.0404955731215,3936.3134824236386
Sch2d85,2018,60_80,N_HZ_PHN_GP,3576.2803408980067,3570.351843604174,3305.626500111517,3871.19597521779
Sch2d85,2018,60_80,N_HZ_Death,0.05457865334662793,0.05456818379754524,0.04413542303101937,0.06577880404190123
