Scenario,Year,Agp,Index,A,M,L,U
Sch2d85,2041,80+,N_HZ_PHN_GP,1233.7779386424932,1215.465978390865,767.3166543331073,1764.0659478835091
Sch2d85,2041,80+,N_HZ_Death,0.08750082615122039,0.08262758557780103,0.039698041792489376,0.16516128143652625
Sch2d85,2041,80+,Coverage_ZVL,0,0,0,0
Sch2d85,2041,80+,Coverage_RZV,0.0061853115558158514,0.006171061600708787,0.00551264120101832,0.006859319717244504
Sch2d85,2041,80+,Coverage,0.0061853115558158514,0.006171061600708787,0.00551264120101832,0.006859319717244504
Sch2d85,2041,80+,IncR_HZ,0.003221920883252807,0.0032272803871573183,0.0020444826111435267,0.004614016128525291
Sch2d85,2041,80+,IncR_HZ_Hosp,2.254155546262529e-4,2.2191546902747289e-4,1.4268395458247573e-4,3.334432143931761e-4
Sch2d85,2041,80+,IncR_HZ_PHN,2.896020273963816e-4,2.8488817868043185e-4,1.8023363393135784e-4,4.137140510599204e-4
Sch2d85,2041,80+,MorR_HZ,1.9118299896919554e-8,1.8053531952998056e-8,8.673736028476027e-9,3.608654967903982e-8
Sch2d85,2042,60_80,Protection,0.6458627772075529,0.6482675473732094,0.5642437411963673,0.7130395057783294
Sch2d85,2042,60_80,N,13131864,13131864,13131863.999999998,13131864.000000002
Sch2d85,2042,60_80,N_Uptake_ZVL,0,0,0,0
Sch2d85,2042,60_80,N_Uptake_RZV,1424513.8793018973,1424878.6570008742,1415334.9318705916,1432201.4816887365
Sch2d85,2042,60_80,N_Covered_ZVL,0,0,0,0
Sch2d85,2042,60_80,N_Covered_RZV,712256.9396509486,712439.3285004371,707667.4659352958,716100.7408443682
Sch2d85,2042,60_80,N_HZ,33885.48238342295,33806.30452287721,26625.302556493374,41953.14947783373
Sch2d85,2042,60_80,N_HZ_GP,33363.15008300875,33303.33094330295,26261.93884872493,41272.97377906228
Sch2d85,2042,60_80,N_HZ_Hosp,522.3323004141977,515.1772709653177,361.1621817912092,723.9025665677659
Sch2d85,2042,60_80,N_HZ_PHN,1990.2286430007716,1964.9614760170386,1535.7195639805914,2590.5422423635523
Sch2d85,2042,60_80,N_HZ_PHN_GP,1955.0111762756167,1930.1916459590834,1513.2209944560273,2537.8097903013418
Sch2d85,2042,60_80,N_HZ_Death,0.014779937499995302,0.013864441791997053,0.007190945812958963,0.02766502591360011
Sch2d85,2042,60_80,Coverage_ZVL,0,0,0,0
Sch2d85,2042,60_80,Coverage_RZV,0.05423883004354513,0.05425271907327377,0.053889338629709835,0.054531538008950456
Sch2d85,2042,60_80,Coverage,0.05423883004354513,0.05425271907327377,0.053889338629709835,0.054531538008950456
Sch2d85,2042,60_80,IncR_HZ,0.0025804015624455866,0.0025743721167746795,0.002027534138070069,0.0031947596683786646
Sch2d85,2042,60_80,IncR_HZ_Hosp,3.977594501543708e-5,3.9231084860863444e-5,2.7502735467806338e-5,5.512565212126518e-5
Sch2d85,2042,60_80,IncR_HZ_PHN,1.5155720794860286e-4,1.4963309671932627e-4,1.1694604543426517e-4,1.9727147968967335e-4
Sch2d85,2042,60_80,MorR_HZ,1.1255018708688502e-9,1.0557862761902688e-9,5.475952091004721e-10,2.1067097491719463e-9
Sch2d85,2042,80+,Protection,0.6563529337630831,0.6543456438662432,0.5049626075260586,0.7896252658805513
Sch2d85,2042,80+,N,4694627,4694627,4694626.999999999,4694627.000000001
Sch2d85,2042,80+,N_Uptake_ZVL,0,0,0,0
Sch2d85,2042,80+,N_Uptake_RZV,54452.243805005906,54311.12054012323,47897.07017159852,60885.863939829316
Sch2d85,2042,80+,N_Covered_ZVL,0,0,0,0
Sch2d85,2042,80+,N_Covered_RZV,27226.121902502953,27155.560270061615,23948.53508579926,30442.931969914658
Sch2d85,2042,80+,N_HZ,15173.37821149871,15209.466231875578,9256.118209539227,22082.143633842697
Sch2d85,2042,80+,N_HZ_GP,14121.857282016235,14171.903957851117,8659.358336008552,20563.788237209374
